Дата,"Ключевая ставка, % годовых","Инфляция, % г/г","Цель по инфляции, %"
2024-04-01,16.0,7.84,4.0
2024-03-01,16.0,7.72,4.0
2024-02-01,16.0,7.69,4.0
2024-01-01,16.0,7.44,4.0
2023-12-01,16.0,7.42,4.0
2023-11-01,15.0,7.48,4.0
2023-10-01,15.0,6.69,4.0
2023-09-01,13.0,6.0,4.0
2023-08-01,12.0,5.15,4.0
2023-07-01,8.5,4.3,4.0
2023-06-01,7.5,3.25,4.0
2023-05-01,7.5,2.51,4.0
2023-04-01,7.5,2.31,4.0
2023-03-01,7.5,3.51,4.0
2023-02-01,7.5,10.99,4.0
2023-01-01,7.5,11.77,4.0
2022-12-01,7.5,11.94,4.0
2022-11-01,7.5,11.98,4.0
2022-10-01,7.5,12.63,4.0
2022-09-01,7.5,13.68,4.0
2022-08-01,8.0,14.3,4.0
2022-07-01,8.0,15.1,4.0
2022-06-01,9.5,15.9,4.0
2022-05-01,11.0,17.1,4.0
2022-04-01,17.0,17.83,4.0
2022-03-01,20.0,16.69,4.0
2022-02-01,20.0,9.15,4.0
2022-01-01,8.5,8.73,4.0
2021-12-01,8.5,8.39,4.0
2021-11-01,7.5,8.4,4.0
2021-10-01,7.5,8.13,4.0
2021-09-01,6.75,7.4,4.0
2021-08-01,6.5,6.68,4.0
2021-07-01,6.5,6.5,4.0
2021-06-01,5.5,6.5,4.0
2021-05-01,5.0,6.0,4.0
2021-04-01,5.0,5.5,4.0
2021-03-01,4.5,5.8,4.0
2021-02-01,4.25,5.7,4.0
2021-01-01,4.25,5.2,4.0
2020-12-01,4.25,4.9,4.0
2020-11-01,4.25,4.4,4.0
2020-10-01,4.25,4.0,4.0
2020-09-01,4.25,3.7,4.0
2020-08-01,4.25,3.6,4.0
2020-07-01,4.25,3.4,4.0
2020-06-01,4.5,3.2,4.0
2020-05-01,5.5,3.0,4.0
2020-04-01,5.5,3.1,4.0
2020-03-01,6.0,2.5,4.0
2020-02-01,6.0,2.3,4.0
2020-01-01,6.25,2.4,4.0
2019-12-01,6.25,3.0,4.0
2019-11-01,6.5,3.5,4.0
2019-10-01,6.5,3.8,4.0
2019-09-01,7.0,4.0,4.0
2019-08-01,7.25,4.3,4.0
2019-07-01,7.25,4.6,4.0
2019-06-01,7.5,4.7,4.0
2019-05-01,7.75,5.1,4.0
2019-04-01,7.75,5.2,4.0
2019-03-01,7.75,5.3,4.0
2019-02-01,7.75,5.2,4.0
2019-01-01,7.75,5.0,4.0
2018-12-01,7.75,4.3,4.0
2018-11-01,7.5,3.8,4.0
2018-10-01,7.5,3.5,4.0
2018-09-01,7.5,3.4,4.0
2018-08-01,7.25,3.1,4.0
2018-07-01,7.25,2.5,4.0
2018-06-01,7.25,2.3,4.0
2018-05-01,7.25,2.4,4.0
2018-04-01,7.25,2.4,4.0
2018-03-01,7.25,2.4,4.0
2018-02-01,7.5,2.2,4.0
2018-01-01,7.75,2.2,4.0
2017-12-01,7.75,2.5,4.0
2017-11-01,8.25,2.5,4.0
2017-10-01,8.25,2.7,4.0
2017-09-01,8.5,3.0,4.0
2017-08-01,9.0,3.3,4.0
2017-07-01,9.0,3.9,4.0
2017-06-01,9.0,4.4,4.0
2017-05-01,9.25,4.1,4.0
2017-04-01,9.75,4.1,4.0
2017-03-01,9.75,4.3,4.0
2017-02-01,10.0,4.6,4.0
2017-01-01,10.0,5.0,4.0
2016-12-01,10.0,5.4,
2016-11-01,10.0,5.8,
2016-10-01,10.0,6.1,
2016-09-01,10.0,6.4,
2016-08-01,10.5,6.9,
2016-07-01,10.5,7.2,
2016-06-01,10.5,7.5,
2016-05-01,11.0,7.3,
2016-04-01,11.0,7.3,
2016-03-01,11.0,7.3,
2016-02-01,11.0,8.1,
2016-01-01,11.0,9.8,
2015-12-01,11.0,12.9,
2015-11-01,11.0,15.0,
2015-10-01,11.0,15.6,
2015-09-01,11.0,15.7,
2015-08-01,11.0,15.8,
2015-07-01,11.5,15.6,
2015-06-01,11.5,15.3,
2015-05-01,12.5,15.8,
2015-04-01,14.0,16.4,
2015-03-01,14.0,16.9,
2015-02-01,15.0,16.7,
2015-01-01,17.0,14.96,
2014-12-01,17.0,11.35,
2014-11-01,9.5,9.06,
2014-10-01,8.0,8.29,
2014-09-01,8.0,8.03,
2014-08-01,8.0,7.55,
2014-07-01,8.0,7.45,
2014-06-01,7.5,7.81,
2014-05-01,7.5,7.59,
2014-04-01,7.5,7.33,
2014-03-01,7.0,6.92,
2014-02-01,5.5,6.21,
2014-01-01,5.5,6.07,
2013-12-01,5.5,6.47,
2013-11-01,5.5,6.5,
2013-10-01,5.5,6.27,
2013-09-01,5.5,6.14,
